date,fever cough
2020-01-05,28.8
2020-01-12,23.857142857142858
2020-01-19,25.571428571428573
2020-01-26,29.428571428571427
2020-02-02,34.42857142857143
2020-02-09,35.0
2020-02-16,31.0
2020-02-23,29.857142857142858
2020-03-01,30.142857142857142
2020-03-08,40.57142857142857
2020-03-15,73.28571428571429
2020-03-22,88.71428571428571
2020-03-29,66.0
2020-04-05,48.142857142857146
2020-04-12,32.42857142857143
2020-04-19,21.142857142857142
2020-04-26,16.285714285714285
2020-05-03,12.571428571428571
2020-05-10,10.571428571428571
2020-05-17,9.285714285714286
2020-05-24,8.571428571428571
2020-05-31,8.142857142857142
2020-06-07,6.714285714285715
2020-06-14,7.142857142857143
2020-06-21,9.571428571428571
2020-06-28,11.714285714285714
2020-07-05,12.721341916315922
2020-07-12,14.135305768754645
2020-07-19,14.97276553602377
2020-07-26,14.236816043575143
2020-08-02,12.003589997524141
2020-08-09,10.963109680614012
2020-08-16,10.912354543203763
2020-08-23,10.201782619460262
2020-08-30,9.719608814062886
2020-09-06,9.64347610794751
2020-09-13,9.973384501114138
2020-09-20,9.186679871255263
2020-09-27,10.379425600396138
2020-10-04,10.557068581332015
2020-10-11,12.866427333498391
2020-10-18,11.825947016588264
2020-10-25,11.419905917306265
2020-11-01,11.851324585293392
2020-11-08,11.369150779896016
2020-11-15,14.592102005446893
2020-11-22,14.642857142857142
2020-11-29,13.678509532062392
2020-12-06,13.576999257241892
2020-12-13,12.612651646447143
2020-12-20,13.297846001485516
2020-12-27,14.05917306263927
2021-01-03,14.756094271330719
2021-01-10,12.207029478458052
2021-01-17,10.998412698412702
2021-01-24,9.765623582766441
2021-01-31,9.693106575963721
2021-02-07,8.895419501133787
2021-02-14,7.517596371882087
2021-02-21,7.686802721088436
2021-02-28,7.396734693877552
2021-03-07,7.759319727891158
2021-03-14,8.31528344671202
2021-03-21,8.605351473922903
2021-03-28,9.306349206349207
2021-04-04,9.548072562358277
2021-04-11,10.418276643990932
2021-04-18,10.901723356009072
2021-04-25,11.675238095238097
2021-05-02,11.699410430839004
2021-05-09,11.941133786848074
2021-05-16,12.666303854875284
2021-05-23,12.666303854875284
2021-05-30,13.874920634920636
2021-06-06,13.681541950113381
2021-06-13,14.213333333333335
2021-06-20,12.690476190476192
2021-06-27,13.294784580498868
2021-07-04,12.278825010551014
2021-07-11,14.978518852335892
2021-07-18,16.207225476941566
2021-07-25,16.55828451254319
2021-08-01,17.31891242301337
2021-08-08,18.89867808322067
2021-08-15,19.13271744028842
2021-08-22,20.3614240648941
2021-08-29,21.648640528766716
2021-09-05,19.600796154423914
2021-09-12,19.483776475890043
2021-09-19,19.542286315156982
2021-09-26,18.255069851284365
2021-10-03,17.66997145861499
2021-10-10,18.547619047619047
2021-10-17,18.48910920835211
2021-10-24,18.021030494216614
2021-10-31,17.31891242301337
2021-11-07,19.249737118822292
2021-11-14,21.765660207300588
2021-11-21,21.414601171698965
2021-11-28,23.75499474237645
2021-12-05,21.531620850232837
2021-12-12,21.122051975364283
2021-12-19,25.5687997596515
2021-12-26,33.99421661409043
2022-01-02,35.59002790888895
2022-01-09,28.87468671679198
2022-01-16,23.37719298245614
2022-01-23,16.44110275689223
2022-01-30,13.512531328320803
2022-02-06,11.868421052631579
