date,fever flu
2020-01-05,65.8
2020-01-12,61.42857142857143
2020-01-19,68.42857142857143
2020-01-26,75.57142857142857
2020-02-02,90.14285714285715
2020-02-09,92.42857142857143
2020-02-16,82.71428571428574
2020-02-23,72.14285714285714
2020-03-01,67.0
2020-03-08,66.57142857142857
2020-03-15,80.85714285714286
2020-03-22,63.857142857142854
2020-03-29,43.42857142857143
2020-04-05,27.142857142857146
2020-04-12,19.428571428571427
2020-04-19,12.857142857142858
2020-04-26,12.285714285714288
2020-05-03,9.142857142857142
2020-05-10,9.142857142857142
2020-05-17,7.714285714285714
2020-05-24,7.714285714285714
2020-05-31,7.0
2020-06-07,5.714285714285715
2020-06-14,7.428571428571429
2020-06-21,6.42857142857143
2020-06-28,7.857142857142857
2020-07-05,9.088082901554404
2020-07-12,9.193190229459661
2020-07-19,8.034048852701703
2020-07-26,6.3153219837157675
2020-08-02,6.9548482605477435
2020-08-09,7.314581791265731
2020-08-16,6.475203552923761
2020-08-23,7.714285714285715
2020-08-30,7.874167283493709
2020-09-06,10.152479644707626
2020-09-13,11.271650629163585
2020-09-20,14.509252405625464
2020-09-27,17.187268689859366
2020-10-04,19.865284974093267
2020-10-11,23.742413027387126
2020-10-18,22.663212435233163
2020-10-25,19.66543301258327
2020-11-01,19.66543301258327
2020-11-08,14.62916358253146
2020-11-15,17.30717986676536
2020-11-22,15.788304959289418
2020-11-29,15.10880829015544
2020-12-06,14.629163582531461
2020-12-13,15.268689859363436
2020-12-20,15.028867505551446
2020-12-27,13.110288675055516
2021-01-03,13.636888892082819
2021-01-10,13.556171983356451
2021-01-17,10.585298196948683
2021-01-24,9.911234396671292
2021-01-31,9.911234396671292
2021-02-07,7.789181692094315
2021-02-14,7.714285714285715
2021-02-21,7.165048543689322
2021-02-28,6.565880721220529
2021-03-07,8.613037447988905
2021-03-14,7.21497919556172
2021-03-21,6.690707350901526
2021-03-28,7.41470180305132
2021-04-04,8.063800277392511
2021-04-11,7.864077669902914
2021-04-18,7.28987517337032
2021-04-25,8.21359223300971
2021-05-02,7.714285714285715
2021-05-09,6.291262135922331
2021-05-16,5.7919556171983375
2021-05-23,6.216366158113731
2021-05-30,5.667128987517338
2021-06-06,7.190013869625521
2021-06-13,5.092926490984744
2021-06-20,5.991678224687933
2021-06-27,5.5423023578363395
2021-07-04,6.000600304276367
2021-07-11,6.699024543738202
2021-07-18,8.151825047199498
2021-07-25,9.120358716173696
2021-08-01,8.071113908118315
2021-08-08,8.393958464443047
2021-08-15,9.76604782882316
2021-08-22,10.81529263687854
2021-08-29,11.703115166771555
2021-09-05,11.29955947136564
2021-09-12,12.106670862177472
2021-09-19,12.994493392070487
