date,dangerous fever
2020-01-05,41.318181818181806
2020-01-12,36.233766233766225
2020-01-19,36.33116883116883
2020-01-26,40.909090909090914
2020-02-02,46.65584415584415
2020-02-09,46.85064935064934
2020-02-16,44.99999999999999
2020-02-23,37.2077922077922
2020-03-01,34.188311688311686
2020-03-08,40.9090909090909
2020-03-15,41.590909090909086
2020-03-22,47.53246753246753
2020-03-29,34.188311688311686
2020-04-05,29.999999999999996
2020-04-12,17.337662337662334
2020-04-19,13.83116883116883
2020-04-26,11.103896103896101
2020-05-03,10.616883116883116
2020-05-10,12.564935064935062
2020-05-17,2.922077922077922
2020-05-24,2.6298701298701297
2020-05-31,6.915584415584415
2020-06-07,2.24025974025974
2020-06-14,8.474025974025972
2020-06-21,13.83116883116883
2020-06-28,13.344155844155845
2020-07-05,19.82743851892788
2020-07-12,12.549184857695495
2020-07-19,20.701575020723958
2020-07-26,12.915584415584416
2020-08-02,8.51878972091738
2020-08-09,8.060790273556231
2020-08-16,14.381182647140093
2020-08-23,16.48798010500138
2020-08-30,3.297596021000276
2020-09-06,14.014783089251173
2020-09-13,0.0
2020-09-20,17.495578889195908
2020-09-27,9.068389057750759
2020-10-04,9.526388505111909
2020-10-11,10.625587178778668
2020-10-18,29.128764852169102
2020-10-25,5.587593257806023
2020-11-01,9.892788063000827
2020-11-08,7.6943907156673115
2020-11-15,24.18237082066869
2020-11-22,23.63277148383531
2020-11-29,11.999585520862114
2020-12-06,24.8235700469743
2020-12-13,25.7395689416966
2020-12-20,17.953578336557058
2020-12-27,0.0
2021-01-03,35.097667561235035
2021-01-10,27.871019391567334
2021-01-17,15.829656644725137
2021-01-24,12.71784380003558
2021-01-31,14.341398327699695
2021-02-07,32.200498132004974
2021-02-14,15.559064223447782
2021-02-21,9.7413271659847
2021-02-28,9.470734744707345
2021-03-07,9.33543853406867
2021-03-14,23.94742928304572
2021-03-21,16.776730119195868
2021-03-28,21.512097491549543
2021-04-04,16.641433908557193
2021-04-11,38.42412382138409
2021-04-18,47.759562355452765
2021-04-25,39.91238213840954
2021-05-02,23.947429283045718
2021-05-09,36.124088240526596
2021-05-16,24.623910336239103
2021-05-23,38.9653086639388
2021-05-30,17.1826187511119
2021-06-06,12.853140010674256
2021-06-13,19.753246753246753
2021-06-20,23.40624444049101
2021-06-27,15.829656644725137
2021-07-04,4.571428571428571
2021-07-11,14.857142857142858
2021-07-18,22.714285714285715
2021-07-25,32.285714285714285
2021-08-01,25.28571428571428
2021-08-08,24.857142857142858
2021-08-15,21.857142857142858
2021-08-22,33.142857142857146
2021-08-29,23.285714285714285
2021-09-05,20.857142857142858
2021-09-12,33.0
2021-09-19,26.14285714285714
2021-09-26,23.14285714285714
2021-10-03,26.857142857142858
2021-10-10,7.285714285714285
2021-10-17,13.714285714285714
2021-10-24,14.428571428571429
2021-10-31,21.857142857142858
2021-11-07,24.0
2021-11-14,29.714285714285715
2021-11-21,18.285714285714285
2021-11-28,21.285714285714285
2021-12-05,28.142857142857142
2021-12-12,33.42857142857143
2021-12-19,38.57142857142857
2021-12-26,57.142857142857146
2022-01-02,83.79383116883116
2022-01-09,79.9715909090909
2022-01-16,68.03977272727272
2022-01-23,45.3125
2022-01-30,38.63636363636363
2022-02-06,19.886363636363637
2022-02-13,18.607954545454543
2022-02-20,16.619318181818183
2022-02-27,16.619318181818183
2022-03-06,19.176136363636363
2022-03-13,22.869318181818183
2022-03-20,15.198863636363637
2022-03-27,21.164772727272727
2022-04-03,23.863636363636367
2022-04-10,22.585227272727273
2022-04-17,27.698863636363637
2022-04-24,22.15909090909091
2022-05-01,27.698863636363637
2022-05-08,31.81818181818182
2022-05-15,33.66477272727273
2022-05-22,34.659090909090914
2022-05-29,29.97159090909091
2022-06-05,35.653409090909086
2022-06-12,27.272727272727273
2022-06-19,30.96590909090909
2022-06-26,34.659090909090914
2022-07-03,27.982954545454543
2022-07-10,28.65657376259566
2022-07-17,29.439005810721138
2022-07-24,40.0018384604151
2022-07-31,30.90606590095641
2022-08-07,25.33123755806238
2022-08-14,28.85218177462703
2022-08-21,25.526845570093744
2022-08-28,26.896101654313334
2022-09-04,20.441037257278133
2022-09-11,21.810293341497722
2022-09-18,28.85218177462703
2022-09-25,26.40708162423491
2022-10-02,22.10370535954478
2022-10-09,26.40708162423491
2022-10-16,33.25336204533285
2022-10-23,30.61265388290936
2022-10-30,36.18748222580339
2022-11-06,39.31721041830531
2022-11-13,41.76231056869743
2022-11-20,47.23933490557578
2022-11-27,54.57463535675215
2022-12-04,47.63055092963852
2022-12-11,53.5965952965953
2022-12-18,49.19541502588948
2022-12-25,47.04372689354442
2023-01-01,49.29321903190516
2023-01-08,33.789482948640014
2023-01-15,28.536027225786263
2023-01-22,28.668752933813177
2023-01-29,20.705210452198404
2023-02-05,28.336938663745894
2023-02-12,30.327824284149585
2023-02-19,23.691538882803943
2023-02-26,21.36883899233297
2023-03-05,23.293361758723204
2023-03-12,30.726001408230324
2023-03-19,22.231556094507905
2023-03-26,27.673310123611333
2023-04-02,18.714324831794716
2023-04-09,22.82882178062901
2023-04-16,22.032467532467532
2023-04-23,20.904299014238774
2023-04-30,12.940756532624004
2023-05-07,22.032467532467532
2023-05-14,17.984333437646693
2023-05-21,18.183421999687063
2023-05-28,17.78524487560632
2023-06-04,20.04158191206384
2023-06-11,19.444316225942735
2023-06-18,8.75989672977625
2023-06-25,17.98433343764669
2023-07-02,9.09171099984353
2023-07-09,12.938043045339823
2023-07-16,21.651095939633485
2023-07-23,13.453108156665468
2023-07-30,11.24595759971254
2023-08-06,16.606180380883938
2023-08-13,17.23679482572763
2023-08-20,16.185770750988144
2023-08-27,21.44089112468559
2023-09-03,23.858246496586418
2023-09-10,26.170499461013296
2023-09-17,21.966403162055336
2023-09-24,31.74092705713259
2023-10-01,27.74703557312253
2023-10-08,28.692957240388072
2023-10-15,23.542939274164574
2023-10-22,23.43783686669062
2023-10-29,30.900107797341004
2023-11-05,26.59090909090909
2023-11-12,29.428674092705712
2023-11-19,28.062342795544378
2023-11-26,28.062342795544378
2023-12-03,39.413402802730864
2023-12-10,38.67768595041322
2023-12-17,48.97772188286022
2023-12-24,58.12163133309379
2023-12-31,49.60833632770392
